Date,Value,Return,Weights
0,10000.0,-0.0,"[('YPA', 0, -0.9999741190468343), ('AOX', 0, -0.9999999003000807), ('KWE', 0, -0.9999999982468616), ('VSR', 0, -0.9999999786926742), ('VWR', 0, -0.9999999336946612), ('ZNX', 0, -0.999999979810599), ('MWN', 0, -0.999999992750806), ('MZJ', 0, -0.9999940456503222), ('VEO', 0, -0.9999988524334626), ('GJA', 0, -0.9999999295602238), ('TUW', 0, -0.9999989810012341), ('HBM', 0, -0.9999999993200201), ('WNF', 0, -0.9999999232312808), ('ABM', 0, -0.9999999768111856), ('RLR', 0, -0.9999994234180978), ('GPE', 0, -0.9999999181651917), ('BUL', 0, -0.999999962859555), ('PKU', 0, -0.9999997338363011), ('VLK', 0, -0.9999994712044078), ('VYQ', 0, -0.9999997564138077), ('EVW', 0, -0.9999999377862967), ('NQW', 0, -0.9999996783289474), ('PHV', 0, -0.999999987969901), ('DAI', 0, -0.9999999471263022), ('WGQ', 0, -0.9999997244381036), ('JFL', 0, -0.9999998728743376), ('RLF', 0, -0.9999998708514866), ('NFR', 0, -0.9999999244031831), ('ZKY', 0, -0.9999993394214316), ('STK', 0, -0.9999997142751446), ('OWG', 0, -0.9999998193940733), ('YLF', 0, -0.999994288008326), ('CPM', 0, -0.999998286811469), ('TGI', 0, -0.9999999928881262), ('MGW', 0, -0.9999995424696231), ('NTR', 0, -0.9999995662706832), ('KKD', 0, -0.9999997197747893), ('JPN', 0, -0.9999990720551118), ('CGS', 0, -0.9999999449779325), ('VOX', 0, -0.9999999153591436)]"
1,10000.0,0.0,"[('YPA', 0, 8.239488666781467e-05), ('AOX', 0, -0.01616759307745343), ('KWE', 0, -0.005698005698005577), ('VSR', 0, -0.01808782358164809), ('VWR', 0, 0.005867560771165154), ('ZNX', 0, -0.04496951219512194), ('MWN', 0, -0.02866952789699574), ('MZJ', 0, -0.02168532269385646), ('VEO', 0, 0.0005952380952381178), ('GJA', 0, -0.003300330033003347), ('TUW', 0, 0.025187803800265147), ('HBM', 0, 0.0030303030303031006), ('WNF', 0, -0.02647058823529408), ('ABM', 0, -0.011133377866844802), ('RLR', 0, -0.03252124645892356), ('GPE', 0, -0.037623762376237525), ('BUL', 0, -0.005502063273727726), ('PKU', 0, -0.03627124583844402), ('VLK', 0, 0.00690880378997244), ('VYQ', 0, -0.01992104781574339), ('EVW', 0, -0.012890839275918784), ('NQW', 0, -0.012189634720006474), ('PHV', 0, -0.02145222311391045), ('DAI', 0, -0.03120124804992207), ('WGQ', 0, -0.019957461892945748), ('JFL', 0, -0.03531504065040652), ('RLF', 0, -0.00032834838191980634), ('NFR', 0, 0.0070175438596491516), ('ZKY', 0, -0.012264942772361214), ('STK', 0, -0.003195084485407129), ('OWG', 0, -0.007402707275803753), ('YLF', 0, -0.010470440691807484), ('CPM', 0, -0.005978633735175923), ('TGI', 0, -0.0026572187776793058), ('MGW', 0, -0.021402168173205314), ('NTR', 0, -0.025219063902543273), ('KKD', 0, -0.010616691285081163), ('JPN', 0, -0.027485441525427947), ('CGS', 0, -0.014094310074821686), ('VOX', 0, 0.013768485466598653)]"
2,10000.0,0.0,"[('YPA', 0, -0.011952823591476838), ('AOX', 0, 0.009653633227420097), ('KWE', 0, 0.03581661891117478), ('VSR', 0, 0.04013161184210526), ('VWR', 0, 0.020000000000000018), ('ZNX', 0, 0.04309656823623312), ('MWN', 0, 0.016967126193001076), ('MZJ', 0, 0.014047277395967176), ('VEO', 0, 0.0069403133055721085), ('GJA', 0, 0.011920529801324485), ('TUW', 0, 0.006896551724137937), ('HBM', 0, -0.015105740181268963), ('WNF', 0, 0.026183282980866043), ('ABM', 0, 0.009682503940554083), ('RLR', 0, 0.030686343405949928), ('GPE', 0, 0.05144032921810699), ('BUL', 0, 0.020470262793914302), ('PKU', 0, 0.013454545454545492), ('VLK', 0, -0.0029405998823759305), ('VYQ', 0, 0.050494811811464715), ('EVW', 0, 0.020005557099194188), ('NQW', 0, 0.01660524245310364), ('PHV', 0, 0.005596063458808172), ('DAI', 0, 0.06172839506172851), ('WGQ', 0, 0.02285962310558105), ('JFL', 0, -0.007637608638398714), ('RLF', 0, 0.017217795638478604), ('NFR', 0, 0.049776007964161276), ('ZKY', 0, 0.030413717717130043), ('STK', 0, 0.026259014978734018), ('OWG', 0, 0.036650330279139116), ('YLF', 0, 0.036990096675312466), ('CPM', 0, 0.025438769473476616), ('TGI', 0, -0.004440497335701504), ('MGW', 0, -0.005491366175723775), ('NTR', 0, 0.033764525323393975), ('KKD', 0, 0.024213865820658754), ('JPN', 0, 0.027344805871009542), ('CGS', 0, -0.009883515707730236), ('VOX', 0, 0.008048289738430591)]"
3,10000.0,0.0,"[('YPA', 0, 0.002544639568894425), ('AOX', 0, 0.006131019857346934), ('KWE', 0, 0.016597510373443876), ('VSR', 0, 0.018659012692631), ('VWR', 0, 0.04003267973856211), ('ZNX', 0, 0.006885998469778107), ('MWN', 0, -0.0009558567952728487), ('MZJ', 0, 0.009905414463394534), ('VEO', 0, 0.02097282394643556), ('GJA', 0, 0.02421465968586394), ('TUW', 0, 0.038955479452054805), ('HBM', 0, 0.039877300613497035), ('WNF', 0, 0.0039254170755643695), ('ABM', 0, -0.0026761819803747667), ('RLR', 0, -0.0012499999999999935), ('GPE', 0, 0.08610567514677094), ('BUL', 0, 0.019517484413120057), ('PKU', 0, -0.01794043774668102), ('VLK', 0, 0.02798531917682515), ('VYQ', 0, -0.016047940683561), ('EVW', 0, 0.026150912557886156), ('NQW', 0, 0.00826883910386963), ('PHV', 0, 0.016646791945940775), ('DAI', 0, 0.002527805864509462), ('WGQ', 0, 0.0061176137770075365), ('JFL', 0, 0.024150743099787784), ('RLF', 0, 0.05980501425635127), ('NFR', 0, -0.0009483167377904018), ('ZKY', 0, 0.003804354390563984), ('STK', 0, 0.007327767433479481), ('OWG', 0, 0.016238437821171618), ('YLF', 0, 0.021885569735383536), ('CPM', 0, -0.028269230769230748), ('TGI', 0, 0.0133809099018732), ('MGW', 0, 0.006415371357441482), ('NTR', 0, 0.005938494167550395), ('KKD', 0, -0.002277593039675671), ('JPN', 0, 0.0014573238990539302), ('CGS', 0, 0.019964349376114035), ('VOX', 0, -0.005738522954091739)]"
4,10000.0,0.0,"[('YPA', 0, 0.008155415402526407), ('AOX', 0, 0.004279985305187329), ('KWE', 0, -0.013605442176870701), ('VSR', 0, -0.0015522819482238041), ('VWR', 0, -0.016496465043205094), ('ZNX', 0, 0.0030395136778114855), ('MWN', 0, 0.017395842393667912), ('MZJ', 0, 0.008702064896755212), ('VEO', 0, 0.0028932394637862587), ('GJA', 0, 0.01102236421725236), ('TUW', 0, 0.04861969509682735), ('HBM', 0, 0.011799410029498535), ('WNF', 0, -0.0009775171065493438), ('ABM', 0, 0.004695885509839018), ('RLR', 0, 0.015132552053703473), ('GPE', 0, -0.05405405405405402), ('BUL', 0, -0.016219090667375684), ('PKU', 0, -0.04366094263792474), ('VLK', 0, 0.009499521836149246), ('VYQ', 0, -0.003870967741935484), ('EVW', 0, -0.002920095566763988), ('NQW', 0, 0.007150648406253771), ('PHV', 0, 0.018214543321895864), ('DAI', 0, -0.001008572869389792), ('WGQ', 0, 0.004920567974131991), ('JFL', 0, -0.013734128012438484), ('RLF', 0, -0.028139132509993454), ('NFR', 0, 0.015662078785002292), ('ZKY', 0, 0.020981159444944907), ('STK', 0, 0.009480651123964005), ('OWG', 0, -0.011731391585760484), ('YLF', 0, 0.01799571663004486), ('CPM', 0, -0.011676231941421006), ('TGI', 0, 0.018485915492957822), ('MGW', 0, -0.0021882532030952613), ('NTR', 0, 0.013704406493780278), ('KKD', 0, 0.017303565721590614), ('JPN', 0, 0.01897117274867878), ('CGS', 0, -0.015903530234183793), ('VOX', 0, 0.007779171894604646)]"
5,10000.0,0.0,"[('YPA', 0, 0.014610628182237793), ('AOX', 0, 0.02665416748549324), ('KWE', 0, 0.05793103448275861), ('VSR', 0, 0.001554695273632052), ('VWR', 0, 0.005591054313099065), ('ZNX', 0, -0.021212121212121165), ('MWN', 0, 0.06352056082756269), ('MZJ', 0, 0.015682117268606598), ('VEO', 0, 0.03625348591210703), ('GJA', 0, 0.021962395323115936), ('TUW', 0, 0.026326129666011857), ('HBM', 0, -0.020408163265306204), ('WNF', 0, 0.012720156555772896), ('ABM', 0, 0.02114400178054758), ('RLR', 0, -0.004483299708585583), ('GPE', 0, -0.039999999999999994), ('BUL', 0, 0.006891891891891961), ('PKU', 0, 0.03056351480420251), ('VLK', 0, 0.004547176960970057), ('VYQ', 0, 0.021191709844559602), ('EVW', 0, 0.017305644302449377), ('NQW', 0, 0.014560770156438009), ('PHV', 0, 0.03584362276142882), ('DAI', 0, -0.026754164563351723), ('WGQ', 0, 0.0034625069949636576), ('JFL', 0, 0.01523909616395161), ('RLF', 0, -0.004538750038880105), ('NFR', 0, -0.020560747663551298), ('ZKY', 0, 0.023679679171985372), ('STK', 0, -0.0038393384524513033), ('OWG', 0, 0.008595988538681983), ('YLF', 0, 0.0022950819672130462), ('CPM', 0, -0.025630756908289972), ('TGI', 0, 0.009507346585998222), ('MGW', 0, -0.0022248355210882265), ('NTR', 0, -0.0024958402662229088), ('KKD', 0, 0.0274212368728122), ('JPN', 0, 0.019123958727198527), ('CGS', 0, -0.007813887408986055), ('VOX', 0, -0.001992031872509918)]"
6,10000.0,0.0,"[('YPA', 0, 0.010901814173194352), ('AOX', 0, 0.009920410542446674), ('KWE', 0, 0.011734028683181207), ('VSR', 0, -0.010555666269968058), ('VWR', 0, 0.01032565528196988), ('ZNX', 0, -0.05417956656346744), ('MWN', 0, -0.0265273311897107), ('MZJ', 0, -0.0032391578189671913), ('VEO', 0, -0.02524127691165552), ('GJA', 0, 0.00015460729746429968), ('TUW', 0, -0.020290964777947975), ('HBM', 0, 0.002976190476190545), ('WNF', 0, -0.016425120772946854), ('ABM', 0, -0.04795117698343511), ('RLR', 0, 0.013623057869849223), ('GPE', 0, -0.04563492063492072), ('BUL', 0, -0.014897329217554682), ('PKU', 0, 0.027803521779425393), ('VLK', 0, -0.0067898906073180715), ('VYQ', 0, 0.017149525597442768), ('EVW', 0, 0.011253598534415066), ('NQW', 0, -0.0034792235005733194), ('PHV', 0, 0.0015850797972631198), ('DAI', 0, 0.0031120331950206803), ('WGQ', 0, 0.012024676727893724), ('JFL', 0, 0.0002587991718425986), ('RLF', 0, -0.016586674253406448), ('NFR', 0, -0.003339694656488563), ('ZKY', 0, -0.00042359760212787073), ('STK', 0, -0.011977468129261846), ('OWG', 0, -0.012378246753246742), ('YLF', 0, 0.018918329516955615), ('CPM', 0, 0.002979860254829493), ('TGI', 0, 0.0017123287671232511), ('MGW', 0, -0.01627751409549904), ('NTR', 0, -0.011884904086738955), ('KKD', 0, -0.0032761106014939064), ('JPN', 0, 0.009834955874961686), ('CGS', 0, -0.02881689636656523), ('VOX', 0, 0.01222554890219566)]"
7,10000.0,0.0,"[('YPA', 0, 0.005995754818634142), ('AOX', 0, -0.007105956874332644), ('KWE', 0, -0.024484536082474164), ('VSR', 0, -0.0062755253757286284), ('VWR', 0, 0.02201257861635215), ('ZNX', 0, 0.011456628477904974), ('MWN', 0, 0.0007431874483897887), ('MZJ', 0, 0.01404585665282537), ('VEO', 0, -0.005331302361005353), ('GJA', 0, -0.010975421239758863), ('TUW', 0, -0.019148104728409474), ('HBM', 0, 0.0029673590504450406), ('WNF', 0, -0.018664047151276966), ('ABM', 0, -0.014880952380952349), ('RLR', 0, -0.006442297012107056), ('GPE', 0, 0.012474012474012579), ('BUL', 0, -0.006130790190735733), ('PKU', 0, -0.002164111812443725), ('VLK', 0, -0.01025446259020114), ('VYQ', 0, -0.01728438170299797), ('EVW', 0, -0.02639751552795039), ('NQW', 0, -0.0029756000793493076), ('PHV', 0, -0.0023164249203928323), ('DAI', 0, 0.013960703205791085), ('WGQ', 0, -0.01126188180190122), ('JFL', 0, -0.0015523932729623589), ('RLF', 0, 0.0067141310300714244), ('NFR', 0, 0.011967448539971278), ('ZKY', 0, -0.0056528768985074996), ('STK', 0, 0.010622336914121169), ('OWG', 0, 0.01458804191493735), ('YLF', 0, -0.0022473112526084195), ('CPM', 0, -0.02509988730662845), ('TGI', 0, -0.04017094017094008), ('MGW', 0, -0.0071886535846123), ('NTR', 0, 0.003587254695083387), ('KKD', 0, -0.00600403190463671), ('JPN', 0, 0.03280018645476017), ('CGS', 0, -0.007187615186140814), ('VOX', 0, 0.026620655656889286)]"
8,10000.0,0.0,"[('YPA', 0, 0.014640015999999947), ('AOX', 0, -0.0076481263640717), ('KWE', 0, 0.006605019815059421), ('VSR', 0, 0.0290495737290812), ('VWR', 0, -0.053846153846153794), ('ZNX', 0, -0.01051779935275073), ('MWN', 0, -0.003960722831916857), ('MZJ', 0, 0.009720837487537453), ('VEO', 0, 0.003254211332312301), ('GJA', 0, -0.007346045639262252), ('TUW', 0, 0.0223107569721115), ('HBM', 0, 0.026627218934911333), ('WNF', 0, 0.026026026026026005), ('ABM', 0, 0.013478968161747578), ('RLR', 0, 0.0054779206260480145), ('GPE', 0, -0.0020533880903490323), ('BUL', 0, 0.0076764907470870765), ('PKU', 0, 0.004879812036869748), ('VLK', 0, 0.001982604246610219), ('VYQ', 0, 0.014136697038146222), ('EVW', 0, 0.01222753854332804), ('NQW', 0, -0.0041782729805014095), ('PHV', 0, -0.005097733203704632), ('DAI', 0, 0.012748597654258032), ('WGQ', 0, 0.001567452715176584), ('JFL', 0, 0.018916817828452885), ('RLF', 0, -0.008337105434732942), ('NFR', 0, -0.007568590350047311), ('ZKY', 0, -0.013420674229110136), ('STK', 0, 0.004038004750593864), ('OWG', 0, -0.0024301336573512465), ('YLF', 0, 0.007963747519708337), ('CPM', 0, 0.022278268179907572), ('TGI', 0, -0.01780943900267151), ('MGW', 0, 0.01285061969993476), ('NTR', 0, 0.008830950378469187), ('KKD', 0, 0.00537895154534632), ('JPN', 0, -0.026923904850660037), ('CGS', 0, 0.021904585112307404), ('VOX', 0, -0.01656662665066021)]"
9,10000.0,0.0,"[('YPA', 0, 0.001616348630192474), ('AOX', 0, 0.0021212120119386826), ('KWE', 0, 0.006561679790026223), ('VSR', 0, 0.02638849340288422), ('VWR', 0, 0.026016260162601505), ('ZNX', 0, 0.01880621422730993), ('MWN', 0, -0.014000497059067168), ('MZJ', 0, 0.010262016433332246), ('VEO', 0, 0.001621827895439818), ('GJA', 0, -0.008030231459612628), ('TUW', 0, -0.0019485580670304252), ('HBM', 0, -0.04610951008645537), ('WNF', 0, -0.01756097560975607), ('ABM', 0, -0.009630818619582704), ('RLR', 0, 0.0005559261730041934), ('GPE', 0, -0.039094650205761396), ('BUL', 0, -0.008434226635831921), ('PKU', 0, -0.011330935251798607), ('VLK', 0, 0.006574328205782864), ('VYQ', 0, 0.013564242454577347), ('EVW', 0, -0.017331932773109154), ('NQW', 0, -0.0018381618381618132), ('PHV', 0, 0.007862575298784376), ('DAI', 0, -0.027190332326283945), ('WGQ', 0, 0.000417333240592629), ('JFL', 0, -0.032044760935910424), ('RLF', 0, 0.008327631101771605), ('NFR', 0, -0.004289799809342224), ('ZKY', 0, 0.015762348178137695), ('STK', 0, 0.011178140525195092), ('OWG', 0, 0.001421031262687785), ('YLF', 0, 0.015668644090340737), ('CPM', 0, -0.01264391447368425), ('TGI', 0, -0.021758839528558498), ('MGW', 0, -0.0009338571520577717), ('NTR', 0, -0.0008336807002917705), ('KKD', 0, -0.006797351225715964), ('JPN', 0, -0.020517728453544676), ('CGS', 0, -0.013987284287011736), ('VOX', 0, -0.028808593749999993)]"
